,name,platform,release_date,summary,meta_score,user_review,release_year,P
326,Crysis,PC,"November 13, 2007","Crysis is a next-generation PC first-person shooter from Crytek, the award-winning developers of ""Far Cry."" It is 2020, and global tensions have reached boiling point as the U.S. and North Korea square off in the South China Sea. At stake: a mysterious artifact uncovered by a team of U.S. archeologists. The North Korean government quickly seizes the area, prompting the U.S. to dispatch an elite team of Delta Force operatives on a rescue mission. During the siege the true nature of the artifact quickly emerges, pointing to the existence of an alien presence on Earth, and ultimately the trigger for a massive-scale alien invasion. The battle to save Earth begins as the aliens' flash freeze the tropics into a ghostly-white frozen landscape. As gamers take up arms against the aliens, they will be outfitted with customizable weapons and a high tech Nanosuit, allowing them to adapt their tactics and abilities to a hostile, ever-changing environment and a mysterious enemy. [Electronic Arts]",90.97624938149431,8.1,2007,PC
329,Final Fantasy XIV: Shadowbringers,PlayStation 4,"July 2, 2019","Take part in the next saga of FINAL FANTASY® XIV Online with the next legendary expansion pack—SHADOWBRINGERS. New jobs: Gunbreaker and Dancer New races: Viera and Hrothgar Level cap increased: 70 to 80 New cities: The Crystarium and Eulmore Journey through expansive new areas, such as the Rak’tika Greatwood, Amh Araeng, Il Mheg and Lakeland. New trails, including harrowing encounters with Titania and Innocence. New beast tribes: pixies, Nu Mou, and dwarves New 8-player raid: Eden An exciting new series of alliance raids YoRHa:Dark Apocalypse The Restoration of the Holy See of Ishgard - In the aftermath of the Dragonsong War, Disciples of the Hand and Land work together to rebuild Ishgard",90.98515586343395,8.4,2019,PlayStation 4
335,The Witcher 3: Wild Hunt - Blood and Wine,PlayStation 4,"May 30, 2016","This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.",90.98812469074716,9.1,2016,PlayStation 4
342,Batman: Arkham Asylum,PC,"September 15, 2009","In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]",90.97921820880752,8.6,2009,PC
343,Halo: Reach,Xbox 360,"September 14, 2010","From the beginning, you know the end. In Halo: Reach, players experience the fateful moments that forged the Halo legend. It's the story of Noble Team, a squad of heroic Spartan soldiers, and their final stand on the planet Reach, humanity's last line of defense between the terrifying Covenant and Earth. This darker story is echoed by grittier visuals amid a backdrop of massive, awe-inspiring environments. Characters, enemies and environments are rendered in amazing detail by an all-new engine designed to deliver epic-scale encounters against the cunning and ruthless Covenant.",90.97822859970312,8.4,2010,Xbox 360
345,Mass Effect,Xbox 360,"November 20, 2007","Mass Effect is a science fiction action-RPG created by BioWare Corp., the commercially and critically acclaimed RPG developer of ""Jade Empire,"" and ""Star Wars: Knights of the Old Republic."" As the first human on the galactic stage, you must uncover the greatest threat to civilization. Your job is complicated by the very fact of your humanity, as no one trusts you and you need to find a way to convince everyone of the grave threat. You will travel across an expansive universe to piece the mystery together. As you discover and explore the uncharted edges of the galaxy, you come closer to an overwhelming truth - learning that the placid and serene universe you know is about to come to a violent end and that you may be the only person who can stop it! In addition to the main story arc of the game, players are be able to visit a large number of uncharted, unexplored planets which are side quests independent from the main story. At any time during the campaign, a player can choose to explore one of these planets and have an opportunity to discover new alien life, resources, ruined civilizations and powerful technologies. Talents and abilities are upgradeable and advanced talent options become available at higher levels. Weapons and vehicles are customizable to include various effects, abilities and upgrades using the ""X-Mod"" system. Each character class have unique talents and abilities which increase in power as the player progresses through the game. [Microsoft]",90.97624938149431,8.7,2007,Xbox 360
348,Crusader Kings III,PC,"September 1, 2020",Paradox Development Studio brings you the sequel to one of the most popular strategy games ever made. Crusader Kings III is the heir to a long legacy of historical grand strategy experiences and arrives with a host of new ways to ensure the success of your royal house.,90.98218703612073,8.4,2020,PC
349,Forza Motorsport 4,Xbox 360,"October 11, 2011",Forza Motorsport 4 is the biggest entry in the series to date. Hundreds of the world’s most exciting cars spanning more than eighty manufacturers. The best driving circuits in the world. Bringing you closer to the cars of your dreams. Online features that redefine online community. Forza Motorsport 4 promises to be an entirely new car experience.,90.97624938149431,8.3,2011,Xbox 360
358,Batman: Arkham City,PC,"November 21, 2011",DC Comics' Dark Knight clashes with the Joker again in this sequel from Warner Bros. and Rocksteady Games.,90.97624938149431,8.7,2011,PC
361,Gears of War 3,Xbox 360,"September 20, 2011","Developed by acclaimed studio Epic Games and available only on Xbox 360, ""Gears of War 3"" plunges players into a harrowing tale of hope, survival, and brotherhood that will conclude the current story arc for ""Gears of War."" With the last human city destroyed and the remaining survivors stranded, time is running out for Marcus and his comrades as they fight to save the human race from the jaws of extinction.",90.97624938149431,8.1,2011,Xbox 360
367,INSIDE,PlayStation 4,"August 23, 2016","Hunted and alone, a boy finds himself drawn into the center of a dark project. The second game from Limbo developer Playdead.",90.98812469074716,8.4,2016,PlayStation 4
369,Dragon Age: Origins,PC,"November 3, 2009","As the spiritual successor to BioWare's ""Baldur's Gate"", one of the most successful role-playing games in the industry, Dragon Age: Origins represents BioWare's return to its roots, delivering a fusion of the best elements of existing fantasy works with stunning visuals, emotionally-driven narrative, heart-pounding combat, powerful magic abilities and credible digital actors. The spirit of classic RPGs comes of age, as Dragon Age: Origins features a dark and mature story and gameplay. Epic Party-Based Combat – Dragon Age: Origins introduces an innovative, scalable combat system, as players face large-scale battles and use their party’s special abilities to destroy hoardes of enemies and massive creatures. Powerful Magic – Raining down awesome destruction on enemies is even more compelling as players apply ""spell combos,"" a way of combining together different spells to create emergent unique effects. Players develop their characters and gain powerful special abilities (spells, talents and skills) and discover ever-increasing weapons of destruction. With its emotionally compelling story, players choose with whom they wish to forge alliances or crush under their mighty fist, redefining the world with the choices they make and how they wield their power. Players select and play a unique prelude that provides the lens through which the player sees the world and how the world sees the player. The player's choice of Origin determines who they are and where they begin the adventure, as they play through a customized story opening that profoundly impacts the course of every adventure. [BioWare]",90.97921820880752,8.8,2009,PC
374,Disco Elysium,PC,"October 15, 2019","Disco Elysium is an open world role playing game. You’re a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.",90.98515586343395,8.4,2019,PC
378,NieR: Automata - Game of the YoRHa Edition,PlayStation 4,"February 26, 2019","Humanity has been driven from the Earth by mechanical beings from another world. In a final effort to take back the planet, the human resistance sends a force of android soldiers to destroy the invaders. Now, a war between machines and androids rages on... A war that could soon unveil a long-forgotten truth of the world.",90.98515586343395,8.7,2019,PlayStation 4
381,Resident Evil 2,PlayStation 4,"January 25, 2019","In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that transformed its population into deadly zombies. Both Leon and Claire have their own separate playable campaigns, allowing players to see the story from both characters’ perspectives. The fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city. Will they make it out alive?",90.98515586343395,8.9,2019,PlayStation 4
383,Far Cry 3,Xbox 360,"December 4, 2012","In Far Cry 3, players assume the role of Jason Brody, a figure alone at the edge of the world, stranded on a mysterious tropical island. In this savage paradise where anarchy and violence are the only sure thing, players dictate how the story unfolds, from the battles they elect to fight to the allies or enemies they make along the way. As Jason Brody, players slash, sneak, detonate and shoot their way across the island in a world that has lost its understanding of what's right and wrong.",90.98317664522514,8.6,2012,Xbox 360
386,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,PlayStation 4,"December 4, 2020","The Definitive Edition includes all the content from the original release of the acclaimed DRAGON QUEST XI, and adds extra character-specific scenarios, the choice of playing with the original soundtrack or a grand orchestral version of the music, the ability to switch between 2D and 3D graphic modes, a Japanese voice-acting option, and much more.",90.98218703612073,8.1,2020,PlayStation 4
393,Assassin's Creed II,Xbox 360,"November 17, 2009","Assassin's Creed II is the product of over two years of intensive development by the original creative team behind the Assassin's Creed brand. In a vast open world environment, the game invites players to incarnate Ezio, a privileged young noble in Renaissance Italy who's been betrayed by the rival ruling families of Italy. Ezio's subsequent quest for vengeance plunges players into an epic story that offers more variety in missions, surprising and engaging new gameplay elements, diverse weapons and a profound character progression that appeal to fans of the original Assassin's Creed as well as entice players new to the brand. [Ubisoft]",89.97921820880752,8.8,2009,Xbox 360
398,Final Fantasy XIV: Shadowbringers,PC,"July 2, 2019","Take part in the next saga of FINAL FANTASY® XIV Online with the next legendary expansion pack—SHADOWBRINGERS. New jobs: Gunbreaker and Dancer New races: Viera and Hrothgar Level cap increased: 70 to 80 New cities: The Crystarium and Eulmore Journey through expansive new areas, such as the Rak’tika Greatwood, Amh Araeng, Il Mheg and Lakeland. New trails, including harrowing encounters with Titania and Innocence. New beast tribes: pixies, Nu Mou, and dwarves New 8-player raid: Eden An exciting new series of alliance raids YoRHa:Dark Apocalypse The Restoration of the Holy See of Ishgard - In the aftermath of the Dragonsong War, Disciples of the Hand and Land work together to rebuild Ishgard",89.98515586343395,9.1,2019,PC
403,Bayonetta,Xbox 360,"January 5, 2010","Bayonetta is a stylish and cinematic action game directed by creator Hideki Kamiya. A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless ethereal enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish finishing moves are performed with balletic grace as Bayonetta flows from one fight to another. With over-the-top action taking place in stages that are a veritable theme park of exciting attractions, Bayonetta pushes the limits of the action genre, bringing to life its fast-paced, dynamic climax combat. [Sega]",89.97822859970312,8.1,2010,Xbox 360
410,World of Goo,PC,"October 12, 2008","World of Goo is a physics based puzzle / construction game. The millions of Goo Balls that live in the beautiful World of Goo don't know that they are in a game, or that they are extremely delicious. [2D Boy]",89.98614547253835,8.4,2008,PC
432,Portal,PC,"October 10, 2007","Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",89.97624938149431,9.2,2007,PC
440,Rayman Legends,PlayStation 4,"February 18, 2014","There are several differences and new features in this PS4 version. In this version the textures of the game are more compressed, so you can see that the game’s graphics are clearer and more detailed than before. You will also see that there is no loading time when you enter or exit a level, which makes the navigation even faster and more enjoyable. Ubisoft has also integrated a new Camera Mode on PS4. By pressing the touchpad of the PS4 joystick, you pause the game and enter this mode, and by moving your fingers on the touchpad, you zoom in and out on the image and drag the image frame; and finally, by pressing the Share button, you can take a photo and share it with everyone. This Camera Mode is a great way to observe in detail all the characters and settings of the game, and a great way of expression to create wacky images with the elements found in the game. On PS4, you can also use the touchpad to scrape the famous Lucky Tickets, then you will really feel like you’re scraping lottery tickets (with the sound of scraping straight from the PS4 joystick). Finally, in this PS4 version, you’ll also find new playable heroes: Assassin Ray (a character inspired by Edward Kenway, the hero of Assassin’s Creed IV: Black Flag), Funky Ray (a delusional character that you can unlock by using Uplay points), and Champion Ray (a character who will be offered to the best players of the community and those who live in this community; this character correspond to the new VIP status, visible in the rankings of online challenges). [Playstation Blog]",89.99406234537358,8.4,2014,PlayStation 4
458,Portal: Still Alive,Xbox 360,"October 22, 2008","[Xbox Live Arcade] Portal: Still Alive features the full award-winning Portal single player game from Valve, plus a new challenge mode. Designed to change the way you approach, manipulate, and surmise the possibilities in any given environment, Portal has earned over 70 industry honors for its innovative gameplay, with more than 30 ""Game of the Year"" awards. Break the laws of physics using ""portal"" technology to solve puzzles and survive in this darkly comic story weaving adventure with brain-bending puzzles. Experience the first first-person puzzle-action-adventure game with hours of single player gaming. The game includes fourteen brand new bonus puzzles to challenge even the most skilled test subjects. And, get a glimpse into the making of Portal: Still Alive with commentary from the developers. [Valve]",89.98614547253835,8.6,2008,Xbox 360
459,Half-Life 2: Episode Two,PC,"October 10, 2007","Half-Life 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions. In Episode Two, you must battle and race against Combine forces as you traverse the White Forest to deliver a crucial information packet stolen from the Citadel to an enclave of fellow resistance scientists. Episode Two extends the award-winning Half-Life gameplay with unique weapons, vehicles, and newly-spawned creatures. [Valve]",89.97624938149431,9.2,2007,PC
461,Braid,PC,"April 10, 2009","Braid is a puzzle-platformer, drawn in a painterly style, where the player manipulates the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect the way time behaves, and it is time's strangeness that creates the puzzles. The time behaviors include: the ability to rewind, objects that are immune to being rewound, time that is tied to space, parallel realities, time dilation, and perhaps more. Braid treats your time and attention as precious; there is no filler in this game. Every puzzle shows you something new and interesting about the game world. Braid is a 2-D platform game where you can never die and never lose.",89.97921820880752,8.6,2009,PC
474,LIMBO,Xbox 360,"July 21, 2010","[Xbox Live Arcade] Uncertain of his sister's fate, a boy enters LIMBO.",89.97822859970312,8.4,2010,Xbox 360
477,Bayonetta,PC,"April 11, 2017","Bayonetta is a cinematic and stylish action game from the creative mind of Hideki Kamiya. As a gun-wielding witch with powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless enemies in a game of 100% pure all-out action. Outlandish finishing moves are performed with acrobatic grace as Bayonetta flows from one fight to another. Bayonetta pushes the limits of the action genre with magnificent over-the-top action and fast-paced, dynamic climax combat.",89.98515586343395,8.1,2017,PC
482,Dead Space 2,Xbox 360,"January 25, 2011","Hero Isaac Clarke returns for another heart-pounding adventure, taking the fight to the Necromorphs in this thrilling action-horror experience. New tools to gruesomely slice and dismember the Necromorphs complement Isaac's signature Plasma Cutter, empowering him as he meets new characters, explores epic Zero-G environments, and fights against a relentless necromorph onslaught. Survival isn't the only thing on Isaac's mind in Dead Space 2 – this time, he calls the shots. [Electronic Arts]",89.97624938149431,8.6,2011,Xbox 360
488,Geometry Wars: Retro Evolved 2,Xbox 360,"July 30, 2008","[Xbox Live Arcade] Experience the adrenaline rush from playing the latest version of the frenetic retro shooter Geometry Wars: Retro Evolved 2. New features include six action-packed gameplay modes, new enemies, new scoring strategies, and a diverse list of exciting achievements. If that's not crazy enough for you, try multiplayer mayhem for up to four players. Use power-ups in versus mode to boost your stats or handicap your opponent, or team up with others in co-op mode. Play it all in razor-sharp 1080p to new pulse-pounding music. Unlock all six of these innovative and challenging modes -- Deadline, Evolved, King, Pacifism, Waves, and Sequence. Achievements: Go for 12 entertaining and inventive ways to boost your gamerscore. Geoms: Collect Geoms to increase your multiplier -- but act fast, they won't last forever! New enemies: Shoot down all the usual suspects, then say ""Hello"" to new enemies that have found additional ways to hunt you down. [Activision]",89.98614547253835,8.3,2008,Xbox 360
493,Deus Ex: Human Revolution,PC,"August 23, 2011","In Deus Ex: Human Revolution you play Adam Jensen, a security specialist, handpicked to oversee the defense of one of America's most experimental biotechnology firms. But when a black ops team breaks in and kills the scientists you were hired to protect, everything you thought you knew about your job changes. At a time when scientific advancements are routinely turning athletes, soldiers and spies into super-enhanced beings, someone is working very hard to ensure mankind's evolution follows a particular path. You need to discover why - because the decisions you take and the choices you make will be the only things that can determine mankind's future.",89.97624938149431,8.5,2011,PC
494,XCOM: Enemy Unknown,Xbox 360,"October 9, 2012","From the makers of the Civilization series comes a game about humanity’s final stand. Threatened by an unknown foe, the Earth’s governments come together to form a stealth paramilitary organization known as XCOM to combat this extraterrestrial assault. At the helm of XCOM, you command the global defense team in battle against a frightening alien invasion. Determine the destiny of the human race by building and co-coordinating a fully operational base, researching alien tech, formulating combat missions, and choreographing soldier movement in battle.",89.98317664522514,8.3,2012,Xbox 360
499,Brothers: A Tale of Two Sons,PC,"September 3, 2013",Two sons must set out on a perilous journey to bring back the Water of Life to their ailing father.,89.98515586343395,8.5,2013,PC
504,Forza Motorsport 2,Xbox 360,"May 29, 2007","From the all-new world famous Nürburgring Nordschleife and Sebring tracks to the spectator-lined streets of New York City in the New York Circuit, race on meticulously designed tracks with an incredible sense of speed and realism. Forza Motorsport 2 features over 60 tracks carved out of 18 environments, including 13 real-world licensed circuits such as Road America, Silverstone, Tsukuba, and Laguna Seca. Four new real-world licensed circuits further expand the world of Forza Motorsport 2. Collect, upgrade, and tune hundreds of cars. From sport compacts to purpose-built race cars, collect more than 300 cars from over 50 of the world’s leading manufacturers including Ferrari, Porsche, Nissan, VW, GM, and Lamborghini. Take your car to the garage and install alternative engines, suspension kits, bolt-on superchargers, brakes, rims, racing slicks, and more. Dial in advanced suspension settings, tire pressure, and gear ratios. Forza Motorsport 2 allows you to own the cars that will own the competition. Create and share your masterpiece with the world. Express your inner artist in the paint and upgrade shops with near endless visual personalization. Customize the shape of your car by combining different licensed rims, performance parts, and aftermarket body kits. Create your own unique paint scheme using millions of paint and decal options. Take in-game pictures of your creation in the Forza Motorsport 2 photo mode. Take your personalized car onto Xbox Live for some intense online wheel-to-wheel racing. Earn in-game credits and even complete single player career objectives while racing over Xbox Live. Watch the best racers from around the world complete on Forza Motorsport 2 TV. [Microsoft]",89.97624938149431,8.3,2007,Xbox 360
507,The Witcher 3: Wild Hunt - Hearts of Stone,PlayStation 4,"October 12, 2015","Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics. [CD Projekt]",89.97921820880752,9.0,2015,PlayStation 4
508,Metal Gear Solid HD Collection,Xbox 360,"November 8, 2011","Metal Gear Solid HD Collection bundles Metal Gear Solid 2: Sons of Liberty, Metal Gear Solid 3: Snake Eater and Metal Gear Solid: Peace Walker and updates them with HD visuals.",89.97624938149431,8.8,2011,Xbox 360
520,GTR 2,PC,"September 29, 2006","Extending the ground-breaking physics engine found in GTR, GTR 2 takes the thrill of driving to new heights. GTR 2, which is the official simulation of the FIA GT championship, features more than 140 high detailed cars and 34 different track-layouts in a hyper realistic racing world with breathtaking real-world-like effects. With a revolutionary Driving School Mode, GTR 2 will teach everybody how to become a real race driver. [10Tacle Studios]",89.98713508164275,8.6,2006,PC
521,Sekiro: Shadows Die Twice,PlayStation 4,"March 22, 2019","Your death won’t come easily. Enter the world of late 1500s Sengoku Japan; a brutal, bloody period of constant life-and-death conflict. As tensions rise, a compelling new story unfolds amongst the chaos. Introducing Sekiro: Shadows Die Twice, a dark and twisted new gameplay experience developed by the renowned team at FromSoftware and published by Activision. Directed by Hidetaka Miyazaki, Sekiro: Shadows Die Twice is a third-person, action-adventure game with RPG elements. The single-player game puts players in the protagonist role of a hard-hearted warrior whose mission is to rescue his master, a young lord, and exact revenge on his arch nemesis. As “Sekiro,” or the “one-armed wolf,” players discover the many ways to strategically approach combat and engage enemies. [Activision]",89.98515586343395,8.3,2019,PlayStation 4
525,Total War: Shogun 2,PC,"March 15, 2011","Shogun 2 is the ultimate refinement of the original formula with a new, cutting-edge AI, more polish and online functionality than ever before. The result is the perfect mix of real-time and turn-based strategy gaming that invites both veterans of Total War and new players to experience the enjoyment and depth of the series.",89.97624938149431,8.4,2011,PC
528,Rayman Legends,Xbox 360,"September 3, 2013","Rayman Legends is the follow-up to last year's Rayman Origins and aims to bring multiplayer interactions for you to use. The Glade of Dreams is in trouble again. During a 100-year nap, the nightmares multiplied and spread, creating new monsters even scarier than before. These creatures are the stuff of legend… Dragons, giant toads, sea monsters, and even evil luchadores. With the help of Murfy, Rayman and Globox awake and must now help fight these nightmares and save the Teensies.",89.98515586343395,8.2,2013,Xbox 360
529,Astro Bot: Rescue Mission,PlayStation 4,"October 2, 2018","Astro Bot Rescue Mission is a platformer, developed exclusively for use with PS VR. Take control of Astro the captain Bot and go on an epic VR rescue mission to save your fellow Bots who are dispersed all over space.",89.98515586343395,8.9,2018,PlayStation 4
540,The Witcher 3: Wild Hunt - Hearts of Stone,PC,"October 13, 2015","Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics. [CD Projekt]",88.97921820880752,9.1,2015,PC
545,Resident Evil 2,PC,"January 25, 2019","In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that transformed its population into deadly zombies. Both Leon and Claire have their own separate playable campaigns, allowing players to see the story from both characters’ perspectives. The fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city. Will they make it out alive?",88.98515586343395,9.0,2019,PC
546,Borderlands 2,Xbox 360,"September 18, 2012","Play as one of 4 new vault hunters facing off against a new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a gazillion weapons and fight alongside them in four-player co-op or split-screen on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet.",88.98317664522514,8.3,2012,Xbox 360
553,It Takes Two,PlayStation 4,"March 26, 2021","From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically acclaimed A Way Out and Brothers: A Tale of Two Sons. Something out of the ordinary Bring your favorite co-op partner and together step into the shoes of May and Cody. As the couple is going through a divorce, through unknown means their minds are transported into two dolls which their daughter, Rose, made to represent them. Now they must reluctantly find a way to get back into their bodies, a quest which takes them through the most wild, unexpected and fantastical journey imaginable.",88.99604156358238,9.1,2021,PlayStation 4
557,The Walking Dead: A Telltale Games Series,PC,"April 24, 2012","Based on Robert Kirkman's comic book series, The Walking Dead brings to life a world devastated by an undead apocalypse and the horrifying choices you're forced to make to survive. Play the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell.",88.98317664522514,8.8,2012,PC
565,Monster Hunter: World - Iceborne,PlayStation 4,"September 6, 2019","Monster Hunter World: Iceborne is the highly anticipated massive expansion to Monster Hunter: World, the best-selling Capcom title of all time with more than 12 million units shipped worldwide adding to the series total of more than 53 million units to date. This gargantuan follow-up rivals the gameplay volume from the original release and features a new icy setting, storyline, monsters, gameplay options, and more. The game's all-new story picks up after Monster Hunter: World and whisks hunters away to the newly discovered chilly locale that, once fully explored, becomes the largest region in World so far. The new locale is home to several new and returning monsters ready to challenge hunters throughout their expeditions and raises the stakes with the added higher difficulty Master Rank. Iceborne continues the skill-based progression and robust crafting system found in World and expands that with several new gameplay features that broaden the player's combat repertoire. All this leads to the ultimate hunter test against the mysterious new flagship monster, Velkhana.",88.98515586343395,8.4,2019,PlayStation 4
566,Plants vs. Zombies,Xbox 360,"September 8, 2010","Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks. Obstacles like a setting sun, creeping fog and a swimming pool add to the challenge, and with five game modes to dig into, the fun never dies!",88.97822859970312,8.4,2010,Xbox 360
568,Dark Souls III,PC,"April 11, 2016","Developed by Japanese developer FromSoftware, DARK SOULS III is the latest chapter in the DARK SOULS series with its trademark sword and sorcery combat and rewarding action RPG gameplay. Players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse.",88.98812469074716,8.5,2016,PC
573,Pillars of Eternity,PC,"March 26, 2015","Eternity aims to recapture the magic, imagination, depth, and nostalgia of classic RPG's that Obsidian enjoyed making - and playing. Eternity takes the central hero, memorable companions and the epic exploration of Baldur’s Gate, adds in the fun, intense combat and dungeon diving of Icewind Dale, and ties it all together with the emotional writing and mature thematic exploration of Planescape: Torment. Choose to play as one of the six playable races: Human, Aumaua, Dwarf, Elf, Godlike, and Orlan. Whether you're playing a stout Dwarf, a towering Aumaua, or one of the otherworldly Godlike, Eternity's plethora of playable races scratch every role-playing itch you may have and allow for deep character customization. [Obsidian]",88.97921820880752,8.3,2015,PC
575,Castlevania: Symphony of the Night,Xbox 360,"March 21, 2007","[Xbox Live Arcade] Dracula's castle has risen again and it's up to the mysterious Alucard to face Dracula and save the world from his nocturnal embrace. Uncover the riddle behind why the castle has returned and what became of the world's last hero, Richer Belmont. Upgrade your weapons, armor, and stats by defeating the castle's defenders. Encounter allies and enemies throughout the castle who help you uncover the real story of both Castlevania and Alucard's personal demons. With non-linear gameplay and multiple endings, its up to you to guide Alucard through the castle as you see fit. Achievements, to challenge players to completely conquer Dracula's castle. Leaderboards, so you can vie for position with other players to become the undisputed worldwide master of Symphony of the Night. Enhanced background visuals that take advantage of the HD graphics capabilities of the Xbox 360. All of the original PlayStation music, sprites, and gameplay content. Ported controls let you experience every battle and boss fight as originally envisioned. Gamer themes and picture packs coming soon to let you customize your Xbox 360 in the Castlevania style. [Konami]",88.97624938149431,8.6,2007,Xbox 360
586,Assassin's Creed: Brotherhood,Xbox 360,"November 16, 2010","The critically acclaimed single-player experience of Assassin's Creed is back and better than ever as Ezio returns in an epic struggle against the powerful Templar Order. Now a legendary Master Assassin, he must journey into Italy's greatest city, Rome, center of power, greed and corruption to strike at the heart of the enemy. Defeating the corrupt tyrants entrenched there will require not only strength, but leadership, as Ezio commands an entire Brotherhood that will rally to his side. Only by working together can the Assassins defeat their mortal enemies.",88.97822859970312,8.4,2010,Xbox 360
587,Left 4 Dead 2,Xbox 360,"November 17, 2009","Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. Play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You’ll also encounter five new ""uncommon"" common infected, including the terrifying Mudmen. Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you’ll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. [Valve]",88.97921820880752,8.5,2009,Xbox 360
588,World Soccer Winning Eleven 9,PC,"April 28, 2006","Arsenal's Thierry Henry and Chelsea's John Terry stare out from the box of Pro Evolution Soccer 5, both men at the top of their game in the Premiership, and both are die-hard fans of the PES series. The retuned controls in the 2005 edition give players more control over weighted passes, one-twos, and so on. This ties in with the improved animation, which not only looks more realistic, but requires you to time kicks and shots perfectly for maximum power - you're more likely to scuff the ball and make weak, inaccurate shots if you attempt to play them while off balance or out of step. In order for you to enjoy the full benefit of the updated controls, Training Mode is extended - rewarding efforts with points used to unlock secrets within the game. The new licensed clubs are all meticulously detailed, including the authentic representation of names and numbers on their backs. Increased detail in all players has been transferred to the Player Design mode, which has been hugely expanded to include more factors determining skill and ability. Master League, in which you guide a lowly team to glory, now allows player-managers to monitor individual players and see when their health declines and includes European teams. In all games, weather conditions can be set to 'variable', leading to patchy rain or snow. The new weather conditions further enhance the realism and unpredictable nature of PES matches. Rain or shine, PES 5 will be the greatest console football you've ever experienced. [Konami Europe]",88.98713508164275,8.2,2006,PC
